iterations,threads,time_in_ns,matrix_size,gmacs
3,8,1000,192,5.0
4,1,386000,192,18.336497409326427
4,8,1000,192,5.0
5,1,445000,192,15.90536629213483
5,8,1000,192,5.0
6,1,463000,192,15.287015118790496
6,8,1000,192,5.0
7,1,421000,192,16.812085510688835
7,8,1000,192,5.0
8,1,390000,192,18.14843076923077
8,8,0,192,5.0
9,1,370000,192,19.129427027027027
9,8,1000,192,5.0
0,1,1126000,216,8.949996447602132
0,8,1000,216,5.0
1,1,923000,216,10.918413867822318
1,8,1000,216,5.0
2,1,618000,216,16.306951456310678
2,8,1000,216,5.0
3,1,642000,216,15.697345794392524
3,8,1000,216,5.0
4,1,553000,216,18.223681735985533
4,8,0,216,5.0
5,1,696000,216,14.479448275862069
5,8,1000,216,5.0
6,1,788000,216,12.788954314720812
6,8,0,216,5.0
7,1,806000,216,12.503344913151365
7,8,1000,216,5.0
8,1,794000,216,12.69231234256927
8,8,1000,216,5.0
9,1,896000,216,11.247428571428571
9,8,1000,216,5.0
0,1,1086000,240,12.7292817679558
0,8,0,240,5.0
1,1,833000,240,16.595438175270107
1,8,0,240,5.0
2,1,839000,240,16.476758045292016
2,8,0,240,5.0
3,1,736000,240,18.782608695652176
3,8,0,240,5.0
4,1,664000,240,20.819277108433734
4,8,1000,240,5.0
5,1,811000,240,17.045622688039458
5,8,0,240,5.0
6,1,973000,240,14.207605344295992
6,8,1000,240,5.0
7,1,796000,240,17.366834170854272
7,8,1000,240,5.0
8,1,738000,240,18.73170731707317
8,8,0,240,5.0
9,1,1457000,240,9.487989018531229
9,8,1000,240,5.0
0,1,1188000,264,15.488
0,8,1000,264,5.0
1,1,2121000,264,8.67503253182461
1,8,0,264,5.0
2,1,1117000,264,16.472465532676814
2,8,1000,264,5.0
3,1,1020000,264,18.038964705882353
3,8,0,264,5.0
4,1,1299000,264,14.164545034642032
4,8,1000,264,5.0
5,1,1420000,264,12.957566197183098
5,8,1000,264,5.0
6,1,2030000,264,9.063913300492612
6,8,1000,264,5.0
7,1,1655000,264,11.11767009063444
7,8,1000,264,5.0
8,1,973000,264,18.910322713257965
8,8,2000,264,5.0
9,1,1368000,264,13.450105263157894
9,8,1000,264,5.0
0,1,1938000,288,12.32604334365325
0,8,1000,288,5.0
1,1,1661000,288,14.381620710415412
1,8,0,288,5.0
2,1,1368000,288,17.461894736842105
2,8,0,288,5.0
3,1,1498000,288,15.946510013351135
3,8,0,288,5.0
4,1,1362000,288,17.538819383259913
4,8,1000,288,5.0
5,1,1833000,288,13.032117839607201
5,8,1000,288,5.0
6,1,1494000,288,15.98920481927711
6,8,1000,288,5.0
7,1,2063000,288,11.579191468734852
7,8,0,288,5.0
8,1,1692000,288,14.118127659574467
8,8,1000,288,5.0
9,1,1617000,288,14.7729573283859
9,8,1000,288,5.0
0,1,2072000,312,14.657976833976834
0,8,0,312,5.0
1,1,2105000,312,14.42818432304038
1,8,1000,312,5.0
2,1,2743000,312,11.072303317535544
2,8,1000,312,5.0
3,1,1699000,312,17.876002354326076
3,8,1000,312,5.0
4,1,2154000,312,14.099966573816156
4,8,0,312,5.0
5,1,2309000,312,13.153455175400607
5,8,1000,312,5.0
6,1,1579000,312,19.234533248891704
6,8,0,312,5.0
7,1,2749000,312,11.048136777009821
7,8,1000,312,5.0
8,1,1614000,312,18.81742750929368
8,8,0,312,5.0
9,1,2097000,312,14.483227467811158
9,8,1000,312,5.0
0,1,2314000,336,16.39285047536733
0,8,1000,336,5.0
1,1,2460000,336,15.419941463414634
1,8,1000,336,5.0
2,1,2646000,336,14.336
2,8,0,336,5.0
3,1,1996000,336,19.004537074148296
3,8,0,336,5.0
4,1,1931000,336,19.64425479026411
4,8,1000,336,5.0
5,1,2548000,336,14.887384615384615
5,8,1000,336,5.0
6,1,2573000,336,14.742734551107656
6,8,1000,336,5.0
7,1,2036000,336,18.631166994106092
7,8,0,336,5.0
8,1,1984000,336,19.11948387096774
8,8,0,336,5.0
9,1,2507000,336,15.130856003191065
9,8,1000,336,5.0
0,1,3321000,360,14.048780487804878
0,8,0,360,5.0
1,1,2777000,360,16.800864241987757
1,8,0,360,5.0
2,1,2856000,360,16.33613445378151
2,8,0,360,5.0
3,1,2436000,360,19.15270935960591
3,8,1000,360,5.0
4,1,3841000,360,12.146836761260088
4,8,1000,360,5.0
5,1,3068000,360,15.207301173402868
5,8,1000,360,5.0
6,1,3197000,360,14.593681576477948
6,8,1000,360,5.0
7,1,3749000,360,12.444918644971992
7,8,1000,360,5.0
8,1,3321000,360,14.048780487804878
8,8,1000,360,5.0
9,1,4074000,360,11.452135493372607
9,8,0,360,5.0
0,1,5601000,384,10.109463310123193
0,8,0,384,5.0
1,1,5103000,384,11.096042328042328
1,8,1000,384,5.0
2,1,4696000,384,12.05773083475298
2,8,1000,384,5.0
3,1,4814000,384,11.762173660157872
3,8,1000,384,5.0
4,1,5284000,384,10.71595457986374
4,8,1000,384,5.0
5,1,4593000,384,12.328130633572828
5,8,0,384,5.0
6,1,4671000,384,12.122265895953758
6,8,1000,384,5.0
7,1,4381000,384,12.924698470668798
7,8,0,384,5.0
8,1,4516000,384,12.538331266607617
8,8,1000,384,5.0
9,1,5930000,384,9.548584148397977
9,8,1000,384,5.0
0,1,3795000,408,17.89652490118577
0,8,1000,408,5.0
1,1,4189000,408,16.21325185008355
1,8,0,408,5.0
2,1,3631000,408,18.70485045442027
2,8,0,408,5.0
3,1,3696000,408,18.375896103896103
3,8,0,408,5.0
4,1,3729000,408,18.213277554304103
4,8,1000,408,5.0
5,1,3658000,408,18.566788408966648
5,8,0,408,5.0
6,1,3755000,408,18.087166977363516
6,8,1000,408,5.0
7,1,3576000,408,18.992536912751678
7,8,0,408,5.0
8,1,3574000,408,19.003165081141578
8,8,0,408,5.0
9,1,4105000,408,16.545021193666262
9,8,1000,408,5.0
0,1,6409000,432,12.579430176314558
0,8,0,432,5.0
1,1,6208000,432,12.986721649484537
1,8,1000,432,5.0
2,1,4934000,432,16.340001621402514
2,8,0,432,5.0
3,1,4446000,432,18.133506072874493
3,8,0,432,5.0
4,1,4969000,432,16.224908029784665
