iterations,threads,time_in_ns,matrix_size,gmacs
24,c0,417000,120,4.143884892086331
0,c0,5215000,144,0.5725760306807287
1,c0,204000,144,14.637176470588235
2,c0,142000,144,21.02805633802817
3,c0,145000,144,20.592993103448276
4,c0,140000,144,21.328457142857143
5,c0,154000,144,19.389506493506495
6,c0,128000,144,23.328
7,c0,141000,144,21.177191489361704
8,c0,184000,144,16.228173913043477
9,c0,152000,144,19.64463157894737
10,c0,543000,144,5.499049723756906
11,c0,131000,144,22.79377099236641
12,c0,152000,144,19.64463157894737
13,c0,2257000,144,1.3229880372175453
14,c0,181000,144,16.497149171270717
15,c0,157000,144,19.01900636942675
16,c0,137000,144,21.795503649635037
17,c0,163000,144,18.318920245398772
18,c0,140000,144,21.328457142857143
19,c0,131000,144,22.79377099236641
20,c0,130000,144,22.96910769230769
21,c0,5630000,144,0.530370159857904
22,c0,1294000,144,2.3075610510046367
23,c0,256000,144,11.664
24,c0,158000,144,18.898632911392404
0,c0,5781000,168,0.8202096523092891
1,c0,1429000,168,3.318146955913226
2,c0,207000,168,22.906434782608695
3,c0,190000,168,24.95595789473684
4,c0,205000,168,23.12991219512195
5,c0,2717000,168,1.745171880750828
6,c0,3927000,168,1.2074438502673797
7,c0,328000,168,14.45619512195122
8,c0,439000,168,10.800984054669703
9,c0,225000,168,21.07392
10,c0,7764000,168,0.6107202472952087
11,c0,4041000,168,1.1733808463251671
12,c0,4195000,168,1.130305601907032
13,c0,447000,168,10.607677852348994
14,c0,9081000,168,0.5221486620416254
15,c0,2329000,168,2.0359089738085014
16,c0,3850000,168,1.2315927272727272
17,c0,331000,168,14.325172205438067
18,c0,214000,168,22.157158878504674
19,c0,208000,168,22.796307692307693
20,c0,4148000,168,1.143112825458052
21,c0,726000,168,6.531173553719008
22,c0,285000,168,16.637305263157895
23,c0,828000,168,5.726608695652174
24,c0,245000,168,19.3536
0,c0,244000,192,29.007737704918032
1,c0,224000,192,31.597714285714286
2,c0,246000,192,28.77190243902439
3,c0,451000,192,15.693764966740577
4,c0,1667000,192,4.245883623275345
5,c0,1783000,192,3.9696511497476163
6,c0,643000,192,11.007601866251944
7,c0,254000,192,27.865700787401575
8,c0,223000,192,31.73940807174888
9,c0,224000,192,31.597714285714286
10,c0,230000,192,30.773426086956523
11,c0,228000,192,31.04336842105263
12,c0,249000,192,28.42525301204819
13,c0,225000,192,31.45728
14,c0,230000,192,30.773426086956523
15,c0,243000,192,29.127111111111113
16,c0,228000,192,31.04336842105263
17,c0,228000,192,31.04336842105263
18,c0,226000,192,31.31808849557522
19,c0,224000,192,31.597714285714286
20,c0,238000,192,29.739025210084034
21,c0,224000,192,31.597714285714286
