iterations,threads,time_in_ns,matrix_size,gmacs
5,c3,22000,96,40.215272727272726
6,c3,22000,96,40.215272727272726
7,c3,21000,96,42.13028571428571
8,c3,21000,96,42.13028571428571
9,c3,21000,96,42.13028571428571
10,c3,21000,96,42.13028571428571
11,c3,22000,96,40.215272727272726
12,c3,21000,96,42.13028571428571
13,c3,22000,96,40.215272727272726
14,c3,22000,96,40.215272727272726
15,c3,22000,96,40.215272727272726
16,c3,21000,96,42.13028571428571
17,c3,22000,96,40.215272727272726
18,c3,21000,96,42.13028571428571
19,c3,22000,96,40.215272727272726
20,c3,21000,96,42.13028571428571
21,c3,21000,96,42.13028571428571
22,c3,22000,96,40.215272727272726
23,c3,22000,96,40.215272727272726
24,c3,22000,96,40.215272727272726
0,c3,59000,120,29.28813559322034
1,c3,53000,120,32.60377358490566
2,c3,41000,120,42.146341463414636
3,c3,44000,120,39.27272727272727
4,c3,44000,120,39.27272727272727
5,c3,39000,120,44.30769230769231
6,c3,40000,120,43.2
7,c3,40000,120,43.2
8,c3,40000,120,43.2
9,c3,41000,120,42.146341463414636
10,c3,53000,120,32.60377358490566
11,c3,40000,120,43.2
12,c3,41000,120,42.146341463414636
13,c3,40000,120,43.2
14,c3,59000,120,29.28813559322034
15,c3,69000,120,25.043478260869566
16,c3,58000,120,29.79310344827586
17,c3,41000,120,42.146341463414636
18,c3,40000,120,43.2
19,c3,40000,120,43.2
20,c3,57000,120,30.31578947368421
21,c3,39000,120,44.30769230769231
22,c3,60000,120,28.8
23,c3,69000,120,25.043478260869566
24,c3,68000,120,25.41176470588235
0,c3,119000,144,25.092302521008403
1,c3,129000,144,23.147162790697674
2,c3,125000,144,23.887872
3,c3,131000,144,22.79377099236641
4,c3,122000,144,24.47527868852459
5,c3,109000,144,27.39434862385321
6,c3,102000,144,29.27435294117647
7,c3,145000,144,20.592993103448276
8,c3,115000,144,25.965078260869564
9,c3,101000,144,29.56419801980198
10,c3,104000,144,28.711384615384617
11,c3,83000,144,35.97571084337349
12,c3,102000,144,29.27435294117647
13,c3,104000,144,28.711384615384617
14,c3,84000,144,35.54742857142857
15,c3,66000,144,45.24218181818182
16,c3,67000,144,44.56692537313433
17,c3,68000,144,43.911529411764704
18,c3,67000,144,44.56692537313433
19,c3,68000,144,43.911529411764704
20,c3,69000,144,43.27513043478261
21,c3,87000,144,34.32165517241379
22,c3,92000,144,32.456347826086954
23,c3,91000,144,32.81301098901099
24,c3,106000,144,28.16966037735849
0,c3,124000,168,38.23896774193548
1,c3,123000,168,38.549853658536584
2,c3,138000,168,34.35965217391304
3,c3,131000,168,36.1956641221374
4,c3,112000,168,42.336
5,c3,151000,168,31.40153642384106
6,c3,135000,168,35.1232
7,c3,132000,168,35.921454545454544
8,c3,146000,168,32.47693150684932
9,c3,115000,168,41.23158260869565
10,c3,125000,168,37.933056
11,c3,150000,168,31.61088
12,c3,136000,168,34.86494117647059
13,c3,126000,168,37.632
14,c3,144000,168,32.928
15,c3,102000,168,46.486588235294114
16,c3,372000,168,12.746322580645161
17,c3,111000,168,42.71740540540541
18,c3,583000,168,8.133159519725558
19,c3,111000,168,42.71740540540541
20,c3,283000,168,16.754883392226148
21,c3,363000,168,13.062347107438017
22,c3,111000,168,42.71740540540541
23,c3,405000,168,11.707733333333334
24,c3,142000,168,33.391774647887324
0,c3,322000,192,21.981018633540373
1,c3,177000,192,39.98806779661017
2,c3,209000,192,33.86549282296651
3,c3,176000,192,40.215272727272726
4,c3,160000,192,44.2368
5,c3,162000,192,43.690666666666665
6,c3,171000,192,41.39115789473684
7,c3,157000,192,45.08208917197452
8,c3,152000,192,46.56505263157895
9,c3,174000,192,40.67751724137931
10,c3,175000,192,40.445074285714284
11,c3,176000,192,40.215272727272726
12,c3,141000,192,50.19778723404255
13,c3,147000,192,48.14889795918367
14,c3,151000,192,46.873430463576156
15,c3,162000,192,43.690666666666665
16,c3,165000,192,42.89629090909091
17,c3,138000,192,51.28904347826087
18,c3,189000,192,37.44914285714286
19,c3,154000,192,45.96031168831169
20,c3,159000,192,44.51501886792453
21,c3,167000,192,42.3825628742515
